Semester,Branch,Subject
3rd Semester,civil,"SOLID MECHANICS"
3rd Semester,civil,"ENGINEERING MATHEMATICS-III"
3rd Semester,civil,"UNIVERSAL HUMAN VALUES"
3rd Semester,civil,"SURVEYING AND GEOMATICS"
3rd Semester,civil,"FLUID MECHANICS"
3rd Semester,civil,"MATERIALS, TESTING & EVALUATION"
3rd Semester,civil,"INDIAN KNOWLEDGE SYSTEM"
3rd Semester,civil,"SOLID MECHANICS LAB"
3rd Semester,civil,"SURVEYING AND GEOMATICS LAB"
3rd Semester,civil,"FLUID MECHANICS LAB"
3rd Semester,civil,"MATERIALS, TESTING & EVALUATION LAB"
3rd Semester,civil,"INTERNSHIP"
3rd Semester,mech,"ENGINEERING MECHANICS"
3rd Semester,mech,"MATERIAL SCIENCE AND ENGINEERING"
3rd Semester,mech,"ENGINEERING MATHEMATICS-III"
3rd Semester,mech,"THERMODYNAMICS"
3rd Semester,mech,"BASIC ELECTRONICS ENGINEERING"
3rd Semester,mech,"UNIVERSAL HUMAN VALUES"
3rd Semester,mech,"INDIAN KNOWLEDGE SYSTEM"
3rd Semester,mech,"ENGINEERING MECHANICS LAB"
3rd Semester,mech,"BASIC ELECTRONIC ENGINEERING LAB"
3rd Semester,mech,"INTERNSHIP-I"
3rd Semester,mech,"BASIC ELECTRONICS ENGINEERING LAB"
3rd Semester,cse,"DIGITAL ELECTRONICS"
3rd Semester,cse,"DATA STRUCTURE & ALGORITHMS"
3rd Semester,cse,"OBJECT ORIENTED PROGRAMMING USING JAVA"
3rd Semester,cse,"DISCRETE MATHEMATICS AND GRAPH THEORY"
3rd Semester,cse,"OPERATING SYSTEMS"
3rd Semester,cse,"UNIVERSAL HUMAN VALUES"
3rd Semester,cse,"INDIAN KNOWLEDGE SYSTEM"
3rd Semester,cse,"DIGITAL ELECTRONICS LAB"
3rd Semester,cse,"DATA STRUCTURE & ALGORITHMS LAB"
3rd Semester,cse,"OBJECT ORIENTED PROGRAMMING USING JAVA"
3rd Semester,cse,"OPERATING SYSTEMS LAB"
3rd Semester,cse,"INTERNSHIP"
3rd Semester,cse,"OBJECT ORIENTED PROGRAMMING USING JAVA LAB"
3rd Semester,ee,"ANALOG ELECTRONICS"
3rd Semester,ee,"ENGINEERING MATHEMATICS-III"
3rd Semester,ee,"ENGINEERING MECHANICS"
3rd Semester,ee,"UNIVERSAL HUMAN VALUES"
3rd Semester,ee,"INDIAN KNOWLEDGE SYSTEM"
3rd Semester,ee,"ANALOG ELECTRONICS LAB"
3rd Semester,ee,"INTERNSHIP"
3rd Semester,ee,"ENGINEERING MECHANICS LAB"
3rd Semester,eee,"DIGITAL ELECTRONICS"
3rd Semester,eee,"ENGINEERING MATHEMATICS-III"
3rd Semester,eee,"ELECTROMAGNETIC FIELD THEORY"
3rd Semester,eee,"SIGNALS AND SYSTEMS"
3rd Semester,eee,"UNIVERSAL HUMAN VALUES"
3rd Semester,eee,"INDIAN KNOWLEDGE SYSTEM"
3rd Semester,eee,"DIGITAL ELECTRONICS LAB"
3rd Semester,eee,"INTERNSHIP"
3rd Semester,ece,"NETWORK THEORY"
3rd Semester,ece,"SIGNALS AND SYSTEMS"
3rd Semester,ece,"MATHEMATICS - III"
3rd Semester,ece,"OBJECT ORIENTED PROGRAMMING"
3rd Semester,ece,"BASIC ELECTRONICS"
3rd Semester,ece,"ELECTRICAL & ELECTRONIC MATERIAL"
3rd Semester,ece,"OBJECT ORIENTED PROGRAMMING LAB"
3rd Semester,ece,"BASIC ELECTRONICS LAB"
3rd Semester,ece,"ELECTRICAL & ELECTRONIC MATERIAL LAB"
