CIVIL,MECH,CSE,EE,EEE,ECE
"ENGINEERING CHEMISTRY","ENGINEERING CHEMISTRY","ENGINEERING PHYSICS","ENGINEERING PHYSICS","ENGINEERING PHYSICS","ENGINEERING PHYSICS"
"ENGINEERING MATHEMATICS","ENGINEERING MATHEMATICS","ENGINEERING MATHEMATICS","ENGINEERING MATHEMATICS","ENGINEERING MATHEMATICS","ENGINEERING MATHEMATICS"
"COMMUNICATIVE ENGLISH","COMMUNICATIVE ENGLISH","PROGRAMMING FOR PROBLEM SOLVING","PROGRAMMING FOR PROBLEM SOLVING","PROGRAMMING FOR PROBLEM SOLVING","PROGRAMMING FOR PROBLEM SOLVING"
"ENGINEERING GRAPHICS AND DESIGN","ENGINEERING GRAPHICS AND DESIGN","IT WORKSHOP      2 0 0 2   GROUP B 1ST & 2ND SEM","BASIC ELECTRICAL ENGINEERING   3 0 0 3   GROUP B 1ST & 2ND SEM","BASIC ELECTRICAL ENGINEERING   3 0 0 3   GROUP B 1ST & 2ND SEM","BASIC ELECTRICAL ENGINEERING   3 0 0 3   GROUP B 1ST & 2ND SEM"
"ENGINEERING MECHANICS","BASIC ELECTRICAL ENGINEERING","BASIC ELECTRONICS ENGINEERING","WORKSHOP PRACTICES","WORKSHOP PRACTICES","WORKSHOP PRACTICES"
"SPORTS/YOGA/NCC/NSS","SPORTS/YOGA/NCC/NSS","ENGINEERING PHYSICS LAB   0 0 2 1   GROUP B 1ST & 2ND SEM","SWATCH BHARAT MISSION    0 02 1","SWATCH BHARAT MISSION    0 02 1","SWATCH BHARAT MISSION    0 02 1"
"COMMUNICATIVE ENGLISH LAB","COMMUNICATIVE ENGLISH LAB","PROGRAMMING FOR PROBLEM SOLVING LAB","ENGINEERING PHYSICS LAB   0 0 2 1   GROUP B 1ST & 2ND SEM","ENGINEERING PHYSICS LAB   0 0 2 1   GROUP B 1ST & 2ND SEM","ENGINEERING PHYSICS LAB   0 0 2 1   GROUP B 1ST & 2ND SEM"
"ENGINEERING GRAPHICS AND DESIGN LAB","ENGINEERING GRAPHICS AND DESIGN LAB","IT WORKSHOP LAB    0 0 2 1   GROUP B 1ST & 2ND SEM","PROGRAMMING FOR PROBLEM SOLVING LAB","PROGRAMMING FOR PROBLEM SOLVING LAB","PROGRAMMING FOR PROBLEM SOLVING LAB"
"ENGINEERING CHEMISTRY LAB","ENGINEERING CHEMISTRY LAB","BASIC ELECTRONICS ENGINEERING LAB","BASIC ELECTRICAL ENGINEERING LAB  0 0 2 1   GROUP B 1ST & 2ND SEM","BASIC ELECTRICAL ENGINEERING LAB  0 0 2 1   GROUP B 1ST & 2ND SEM","BASIC ELECTRICAL ENGINEERING LAB  0 0 2 1   GROUP B 1ST & 2ND SEM"
"ENGINEERING MECHANICS LAB","BASIC ELECTRICAL ENGINEERING LAB","SWATCH BHARAT MISSION    0 02 1","WORKSHOP PRACTICES LAB","WORKSHOP PRACTICES LAB","WORKSHOP PRACTICES LAB"
